t;v
8.1;91.79
8.11;91.805
8.12;91.805
8.13;91.79
8.14;91.79
8.15;91.71
8.16;91.71
8.17;91.73
8.18;91.73
8.19;91.71
8.2;91.71
8.21;91.66
8.22;91.66
8.23;91.64
8.24;91.64
8.25;91.64
8.26;91.64
8.27;91.62
8.28;91.62
8.29;91.61
8.3;91.61
8.31;91.56
8.32;91.56
8.33;91.555
8.34;91.555
8.35;91.555
8.36;91.555
8.37;91.575
8.38;91.575
8.39;91.5
8.4;91.5
8.41;91.46
8.42;91.46
8.43;91.44
8.44;91.44
8.45;91.45
8.46;91.45
8.47;91.44
8.48;91.44
8.49;91.39
8.5;91.39
8.51;91.345
8.52;91.345
8.53;91.375
8.54;91.375
8.55;91.36
8.56;91.36
8.57;91.305
8.58;91.305
8.59;91.33
8.6;91.33
8.61;91.305
8.62;91.305
8.63;91.32
8.64;91.32
8.65;91.22
8.66;91.22
8.67;91.195
8.68;91.195
8.69;91.195
8.7;91.195
8.71;91.2
8.72;91.2
8.73;91.145
8.74;91.145
8.75;91.125
8.76;91.125
8.77;91.11
8.78;91.11
8.79;91.14
8.8;91.14
8.81;91.075
8.82;91.075
8.83;91.05
8.84;91.05
8.85;91.05
8.86;91.05
8.87;91.07
8.88;91.07
8.89;91
8.9;91
8.91;90.99
8.92;90.99
8.93;90.995
8.94;90.995
8.95;90.975
8.96;90.975
8.97;90.895
8.98;90.895
8.99;90.865
9;90.865
9.01;90.845
9.02;90.845
9.03;90.84
9.04;90.84
9.05;90.825
9.06;90.825
9.07;90.81
9.08;90.81
9.09;90.755
9.1;90.755
9.11;90.775
9.12;90.775
9.13;90.755
9.14;90.755
9.15;90.715
9.16;90.715
9.17;90.66
9.18;90.66
9.19;90.68
9.2;90.68
9.21;90.7
9.22;90.7
9.23;90.615
9.24;90.615
9.25;90.61
9.26;90.61
9.27;90.595
9.28;90.595
9.29;90.605
9.3;90.605
9.31;90.61
9.32;90.61
9.33;90.515
9.34;90.515
9.35;90.525
9.36;90.525
9.37;90.54
9.38;90.54
9.39;90.525
9.4;90.525
9.41;90.485
9.42;90.485
9.43;90.475
9.44;90.475
9.45;90.48
9.46;90.48
9.47;90.46
9.48;90.46
9.49;90.415
9.5;90.415
9.51;90.395
